Date
1511,1968-01-02
1512,1968-01-03
1513,1968-01-04
1514,1968-01-05
1515,1968-01-08
1516,1968-01-09
1517,1968-01-10
1518,1968-01-11
1519,1968-01-12
1520,1968-01-15
1521,1968-01-16
1522,1968-01-17
1523,1968-01-18
1524,1968-01-19
1525,1968-01-22
1526,1968-01-23
1527,1968-01-24
1528,1968-01-25
1529,1968-01-26
1530,1968-01-29
1531,1968-01-30
1532,1968-01-31
1533,1968-02-01
1534,1968-02-02
1535,1968-02-05
1536,1968-02-06
1537,1968-02-07
1538,1968-02-08
1539,1968-02-09
1540,1968-02-13
1541,1968-02-14
1542,1968-02-15
1543,1968-02-16
1544,1968-02-19
1545,1968-02-20
1546,1968-02-21
1547,1968-02-23
1548,1968-02-26
1549,1968-02-27
1550,1968-02-28
1551,1968-02-29
1552,1968-03-01
1553,1968-03-04
1554,1968-03-05
1555,1968-03-06
1556,1968-03-07
1557,1968-03-08
1558,1968-03-11
1559,1968-03-12
1560,1968-03-13
1561,1968-03-14
1562,1968-03-15
1563,1968-03-18
1564,1968-03-19
1565,1968-03-20
1566,1968-03-21
1567,1968-03-22
1568,1968-03-25
1569,1968-03-26
1570,1968-03-27
1571,1968-03-28
1572,1968-03-29
1573,1968-04-01
1574,1968-04-02
1575,1968-04-03
1576,1968-04-04
1577,1968-04-05
1578,1968-04-08
1579,1968-04-10
1580,1968-04-11
1581,1968-04-15
1582,1968-04-16
1583,1968-04-17
1584,1968-04-18
1585,1968-04-19
1586,1968-04-22
1587,1968-04-23
1588,1968-04-24
1589,1968-04-25
1590,1968-04-26
1591,1968-04-29
1592,1968-04-30
1593,1968-05-01
1594,1968-05-02
1595,1968-05-03
1596,1968-05-06
1597,1968-05-07
1598,1968-05-08
1599,1968-05-09
1600,1968-05-10
1601,1968-05-13
1602,1968-05-14
1603,1968-05-15
1604,1968-05-16
1605,1968-05-17
1606,1968-05-20
1607,1968-05-21
1608,1968-05-22
1609,1968-05-23
1610,1968-05-24
1611,1968-05-27
1612,1968-05-28
1613,1968-05-29
1614,1968-05-31
1615,1968-06-03
1616,1968-06-04
1617,1968-06-05
1618,1968-06-06
1619,1968-06-07
1620,1968-06-10
1621,1968-06-11
1622,1968-06-13
1623,1968-06-14
1624,1968-06-17
1625,1968-06-18
1626,1968-06-20
1627,1968-06-21
1628,1968-06-24
1629,1968-06-25
1630,1968-06-27
1631,1968-06-28
1632,1968-07-01
1633,1968-07-02
1634,1968-07-03
1635,1968-07-08
1636,1968-07-09
1637,1968-07-11
1638,1968-07-12
1639,1968-07-15
1640,1968-07-16
1641,1968-07-18
1642,1968-07-19
1643,1968-07-22
1644,1968-07-23
1645,1968-07-25
1646,1968-07-26
1647,1968-07-29
1648,1968-07-30
1649,1968-08-01
1650,1968-08-02
1651,1968-08-05
1652,1968-08-06
1653,1968-08-08
1654,1968-08-09
1655,1968-08-12
1656,1968-08-13
1657,1968-08-15
1658,1968-08-16
1659,1968-08-19
1660,1968-08-20
1661,1968-08-22
1662,1968-08-23
1663,1968-08-26
1664,1968-08-27
1665,1968-08-29
1666,1968-08-30
1667,1968-09-03
1668,1968-09-04
1669,1968-09-05
1670,1968-09-06
1671,1968-09-09
1672,1968-09-10
1673,1968-09-12
1674,1968-09-13
1675,1968-09-16
1676,1968-09-17
1677,1968-09-19
1678,1968-09-20
1679,1968-09-23
1680,1968-09-24
1681,1968-09-26
1682,1968-09-27
1683,1968-09-30
1684,1968-10-01
1685,1968-10-03
1686,1968-10-04
1687,1968-10-07
1688,1968-10-08
1689,1968-10-10
1690,1968-10-11
1691,1968-10-14
1692,1968-10-15
1693,1968-10-17
1694,1968-10-18
1695,1968-10-21
1696,1968-10-22
1697,1968-10-24
1698,1968-10-25
1699,1968-10-28
1700,1968-10-29
1701,1968-10-31
1702,1968-11-01
1703,1968-11-04
1704,1968-11-06
1705,1968-11-07
1706,1968-11-08
1707,1968-11-12
1708,1968-11-13
1709,1968-11-14
1710,1968-11-15
1711,1968-11-18
1712,1968-11-19
1713,1968-11-21
1714,1968-11-22
1715,1968-11-25
1716,1968-11-26
1717,1968-11-27
1718,1968-11-29
1719,1968-12-02
1720,1968-12-03
1721,1968-12-05
1722,1968-12-06
1723,1968-12-09
1724,1968-12-10
1725,1968-12-12
1726,1968-12-13
1727,1968-12-16
1728,1968-12-17
1729,1968-12-19
1730,1968-12-20
1731,1968-12-23
1732,1968-12-24
1733,1968-12-26
1734,1968-12-27
1735,1968-12-30
1736,1968-12-31
